avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,time,solver,matrix_name,predicted_class,actual_class,default_time,Time Difference,Comparison,SpeedUp
793.8216,1.644563,98.9454,2,98.9454,101.9332,36025721,0.000112,adder_dcop_54,good,good,0.000849,-86.81,-86.81 % less time of default solver time,7.580357143
1024.006,20004,24.46265,3,24.46265,50605.8,36025721,0.000338,Chebyshev2,good,good,0.002548,-86.73,-86.73 % less time of default solver time,7.538461538
8.393939,14331850,27.09879,1,25.93517,8.125526,37052868,0.000063,DK01R,good,good,0.000455,-86.15,-86.15 % less time of default solver time,7.222222222
793.8216,1.663283,98.94544,2,98.94544,102.4127,36025721,0.000118,adder_dcop_50,good,good,0.000847,-86.07,-86.07 % less time of default solver time,7.177966102
1306.463,4838.612,13.73004,2,12.73824,57612.42,37052868,0.000053,extr1b_A_07,good,good,0.000358,-85.2,-85.2 % less time of default solver time,6.754716981
793.8216,1.663809,98.94544,2,98.94544,62.03566,36025721,0.000111,adder_dcop_30,good,good,0.000662,-83.23,-83.23 % less time of default solver time,5.963963964
3768.934,407175.6,6.956126,2,7.153659,120.2018,37052868,0.00012,rajat13,good,good,0.0007,-82.86,-82.86 % less time of default solver time,5.833333333
793.8216,1.644563,98.94544,2,98.94544,62.8272,36025721,0.000116,adder_dcop_69,good,good,0.000673,-82.76,-82.76 % less time of default solver time,5.801724138
793.8216,1.644563,98.94544,2,98.94544,62.8272,36025721,0.000116,adder_dcop_69,good,good,0.000673,-82.76,-82.76 % less time of default solver time,5.801724138
1306.618,741526.8,13.78493,2,10.65529,1.436186,37052868,0.000038,extr1b_A_03,good,good,0.000214,-82.24,-82.24 % less time of default solver time,5.631578947
1295.615,62076.96,14.43798,2,9.971659,7.092991,37052868,0.000034,extr1b_A_41,good,good,0.00019,-82.11,-82.11 % less time of default solver time,5.588235294
1295.615,62078.13,14.40689,2,10.00628,7.131647,37052868,0.000034,extr1b_A_32,good,good,0.000189,-82.01,-82.01 % less time of default solver time,5.558823529
1295.615,100001,14.42637,2,9.987241,7.182499,37052868,0.000034,extr1b_A_38,good,good,0.000189,-82.01,-82.01 % less time of default solver time,5.558823529
1307.649,741299.6,13.80673,2,10.67681,1.07792,37052868,0.000037,extr1,good,good,0.000204,-81.86,-81.86 % less time of default solver time,5.513513514
1295.488,62076.88,14.43918,2,9.970199,7.141145,37052868,0.000034,extr1b_A_44,good,good,0.000187,-81.82,-81.82 % less time of default solver time,5.5
793.8216,1.663283,98.94544,2,98.94544,102.4127,32168837,0.000154,adder_dcop_50,good,good,0.000847,-81.82,-81.82 % less time of default solver time,5.5
1295.615,62073.03,13.73004,2,9.192277,7.165538,37052868,0.000033,extr1b_A_12,good,good,0.000181,-81.77,-81.77 % less time of default solver time,5.484848485
1295.488,62078.49,14.38483,2,10.01744,7.19391,37052868,0.000033,extr1b_A_28,good,good,0.000181,-81.77,-81.77 % less time of default solver time,5.484848485
1306.618,741947.1,13.73,2,10.60099,1.503516,37052868,0.000038,extr1b_A_05,good,good,0.000205,-81.46,-81.46 % less time of default solver time,5.394736842
1295.211,62078.13,14.40689,2,10.00628,8.046191,37052868,0.000034,extr1b_A_33,good,good,0.000183,-81.42,-81.42 % less time of default solver time,5.382352941
1295.488,62077.56,14.42637,2,9.987241,7.173147,37052868,0.000034,extr1b_A_39,good,good,0.000183,-81.42,-81.42 % less time of default solver time,5.382352941
1295.615,100001,14.38483,2,10.01744,7.20361,37052868,0.000034,extr1b_A_27,good,good,0.000183,-81.42,-81.42 % less time of default solver time,5.382352941
1306.618,741508.3,13.78749,2,10.65783,1.430522,37052868,0.000038,extr1b_A_02,good,good,0.000204,-81.37,-81.37 % less time of default solver time,5.368421053
1295.615,62073.03,13.73004,2,9.192277,7.165538,37052868,0.000034,extr1b_A_12,good,good,0.000181,-81.22,-81.22 % less time of default solver time,5.323529412
1295.488,62073.03,13.73004,2,9.192277,7.165538,37052868,0.000034,extr1b_A_15,good,good,0.000181,-81.22,-81.22 % less time of default solver time,5.323529412
1295.615,62073.03,13.73004,2,9.192277,7.165538,37052868,0.000034,extr1b_A_12,good,good,0.000181,-81.22,-81.22 % less time of default solver time,5.323529412
1295.488,62073.03,13.73004,2,9.192277,7.165538,37052868,0.000034,extr1b_A_15,good,good,0.000181,-81.22,-81.22 % less time of default solver time,5.323529412
1295.338,62077.62,14.42482,2,9.989455,8.132567,37052868,0.000034,extr1b_A_35,good,good,0.000181,-81.22,-81.22 % less time of default solver time,5.323529412
1306.615,741299.6,13.80673,2,10.67681,1.447031,37052868,0.000038,extr1b_A_01,good,good,0.000202,-81.19,-81.19 % less time of default solver time,5.315789474
1295.211,62078.87,14.34569,2,10.01171,7.938568,37052868,0.000034,extr1b_A_23,good,good,0.00018,-81.11,-81.11 % less time of default solver time,5.294117647
13658.6,473333.5,8,1,9.357463,4233652000,45869639,0.00017,c-48,good,good,0.00087,-80.46,-80.46 % less time of default solver time,5.117647059
1295.338,62077.62,14.42482,2,9.989455,8.132564,37052868,0.000038,extr1b_A_35,good,good,0.000181,-79.01,-79.01 % less time of default solver time,4.763157895
793.8216,1.664156,98.94544,2,98.94544,86.5411,36025721,0.000107,adder_dcop_32,good,good,0.000504,-78.77,-78.77 % less time of default solver time,4.710280374
793.8216,1.663771,98.94544,2,98.94544,95.33964,36025721,0.000107,adder_dcop_41,good,good,0.000504,-78.77,-78.77 % less time of default solver time,4.710280374
793.8216,1.644563,98.94544,2,98.94544,94.88779,36025721,0.000106,adder_dcop_61,good,good,0.000477,-77.78,-77.78 % less time of default solver time,4.5
1303.823,5.214336,15,2,15,67641.69,37052868,0.000129,circuit_1,good,good,0.000563,-77.09,-77.09 % less time of default solver time,4.364341085
176.6775,1306,1.740363,2,1.740363,18376.04,36025721,0.000256,CAG_mat364,good,good,0.001115,-77.04,-77.04 % less time of default solver time,4.35546875
793.6791,7.749682,261.0569,2,261.0569,263.5557,37052868,0.000088,adder_dcop_07,good,good,0.000383,-77.02,-77.02 % less time of default solver time,4.352272727
793.8216,1.663817,98.94544,2,98.94544,95.3427,36025721,0.000119,adder_dcop_41,good,good,0.000504,-76.39,-76.39 % less time of default solver time,4.235294118
793.8216,1.644563,98.94544,2,98.94544,62.8272,32168837,0.000162,adder_dcop_69,good,good,0.000673,-75.93,-75.93 % less time of default solver time,4.154320988
793.8216,1.664518,98.94544,2,98.94544,84.28226,36025721,0.000106,adder_dcop_23,good,good,0.000416,-74.52,-74.52 % less time of default solver time,3.924528302
1306.082,4833.859,14.38483,2,14.00709,134158.7,37052868,0.00005,extr1b_A_29,good,good,0.000189,-73.54,-73.54 % less time of default solver time,3.78
107.229,29625580,17.16111,1,16.90036,14061.46,45869639,0.000047,nasa1824,good,good,0.000177,-73.45,-73.45 % less time of default solver time,3.765957447
43,124.7753,5.39564,1,5.39564,2.573104,37052868,0.000041,t2dal_bci,good,good,0.000152,-73.03,-73.03 % less time of default solver time,3.707317073
