@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,100,9,?,99,9,1,8,213.1836,?,38612,160.3012,66.22222,87025,4.850928,?,100,260.3186,160.3087,100,87025,?,16.49591,-1.353573e-08,?,?,38612,?,213.1836,1.043735,161676.4,?,9801,100,1.0,161676.4,4,2,1.058807,9801,?,8,17.76725,23.40448,?,28475.81,213.213,?,10920.05,22,106.5881,?,106.5955,2542.247,257.337,?,213.1836,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,213.1836,?,38612,160.3012,66.22222,87025,4.850928,?,100,260.3186,160.3087,100,87025,?,16.49591,-1.353573e-08,?,?,38612,?,213.1836,1.043735,161676.4,?,9801,100,1.0,161676.4,4,2,1.058807,9801,?,8,17.76725,23.40448,?,28475.81,213.213,?,10920.05,22,106.5881,?,106.5955,2542.247,257.337,?,213.1836,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,213.1836,?,38612,160.3012,66.22222,87025,4.850928,?,100,260.3186,160.3087,100,87025,?,16.49591,-1.353573e-08,?,?,38612,?,213.1836,1.043735,161676.4,?,9801,100,1.0,161676.4,4,2,1.058807,9801,?,8,17.76725,23.40448,?,28475.81,213.213,?,10920.05,22,106.5881,?,106.5955,2542.247,257.337,?,213.1836,9801,8,"95762354",bad
?,100,9,?,99,9,1,8,167.7161,?,38612,148.8563,66.22222,87025,4.818936,?,100,252.0465,148.8638,100,87025,?,16.40549,-0.0001547256,?,?,38612,?,167.7161,0.9227812,160790.2,?,9801,100,1.0,160790.2,4,2,0.9604615,9801,?,8,17.38965,22.37242,?,22407.62,167.7356,?,10920.05,18,83.8543,?,83.86179,2505.794,252.0466,?,167.7161,9801,8,"82456576",bad
?,100,9,?,99,9,1,8,167.7161,?,38612,148.8563,66.22222,87025,4.818936,?,100,252.0465,148.8638,100,87025,?,16.40549,-0.0001547256,?,?,38612,?,167.7161,0.9227812,160790.2,?,9801,100,1.0,160790.2,4,2,0.9604615,9801,?,8,17.38965,22.37242,?,22407.62,167.7356,?,10920.05,18,83.8543,?,83.86179,2505.794,252.0466,?,167.7161,9801,8,"12321508",bad
?,100,9,?,99,9,1,8,167.7161,?,38612,148.8563,66.22222,87025,4.818936,?,100,252.0465,148.8638,100,87025,?,16.40549,-0.0001547256,?,?,38612,?,167.7161,0.9227812,160790.2,?,9801,100,1.0,160790.2,4,2,0.9604615,9801,?,8,17.38965,22.37242,?,22407.62,167.7356,?,10920.05,18,83.8543,?,83.86179,2505.794,252.0466,?,167.7161,9801,8,"95762354",bad
?,514,694,1,150,27,?,10,-3227847.0,?,92795,37101.3,192.2968,206076,1.0,?,514,4605960.0,3209391.0,514,206076,?,1639634.0,-3619879.0,?,?,92813,?,1.0,22.25839,33560040000.0,?,20468,514,?,-33560040000.0,1,?,22.25833,20468,?,10,12321.11,32024920.0,?,1.0,3264398.0,?,91730.54,4,?,?,-3227296.0,261283100.0,3619879.0,?,1.0,20468,10,"82456576",bad
?,514,694,1,150,27,?,10,-3227847.0,?,92795,37101.3,192.2968,206076,1.0,?,514,4605960.0,3209391.0,514,206076,?,1639634.0,-3619879.0,?,?,92813,?,1.0,22.25839,33560040000.0,?,20468,514,?,-33560040000.0,1,?,22.25833,20468,?,10,12321.11,32024920.0,?,1.0,3264398.0,?,91730.54,4,?,?,-3227296.0,261283100.0,3619879.0,?,1.0,20468,10,"12321508",bad
?,514,694,1,150,27,?,10,-3227847.0,?,92795,37101.3,192.2968,206076,1.0,?,514,4605960.0,3209391.0,514,206076,?,1639634.0,-3619879.0,?,?,92813,?,1.0,22.25839,33560040000.0,?,20468,514,?,-33560040000.0,1,?,22.25833,20468,?,10,12321.11,32024920.0,?,1.0,3264398.0,?,91730.54,4,?,?,-3227296.0,261283100.0,3619879.0,?,1.0,20468,10,"95762354",good
?,864,1601,?,224,36,?,4,2.884108,?,2118,0.3746739,460.3435,5976,0.1818182,?,864,5.756763,1.235719,864,5976,?,0.258408,-1.0,?,?,2638,?,2.872444,101.07,315.2578,?,1154,864,0.92,315.2578,2,1,101.07,1220,?,5,0.2634602,0.002106179,?,3.349545,2.884108,?,475474.4,25,1.942054,?,0.942054,18.85366,5.756586,?,2.884108,1220,4,"82456576",good
?,15047,4180,?,4,153,?,11,2.0,?,85035,105017.9,6827.318,203316,0.5,?,14782,108614.4,4515.618,15047,203316,?,2.568981,-109266.7,?,?,100551,?,1.0,17.59421,45548.03,?,17730,14782,1.0,34200.38,2,?,17.9674,17730,?,19,3.751836,117112.3,?,88.41066,108309.7,?,120399000.0,42,14.99115,3291.677,15.14247,127397.9,109266.7,?,32.04763,17730,11,"82456576",good
