avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver,matrix_name, actual_class,predicted_class,default_time,Time Difference,Comparison,SpeedUp
1381.141,12405480000,127.6996,2,127.6996,3.988377,0.000223,69654763,bayer08,fair,fair,0.50837,-99.96,-99.96 % less time of default solver time,2279.686099
1381.141,1160759000,59.49158,2,59.49158,3.610837,0.000234,69654763,bayer06,fair,fair,0.50804,-99.95,-99.95 % less time of default solver time,2171.111111
531.1134,2097152,9.976185,2,13.15285,5499.409,0.000376,37052868,mark3jac040sc,good,fair,0.79703,-99.95,-99.95 % less time of default solver time,2119.760638
157.7643,62.81284,18.42593,1,18.4186,33.32586,0.000503,29030070,cavity15,bad,bad,1.0658,-99.95,-99.95 % less time of default solver time,2118.88668
6493.718,126001,30.47297,2,30.47297,2.338928,0.000761,36025721,bayer02,fair,fair,1.5747,-99.95,-99.95 % less time of default solver time,2069.250986
103.1031,85.13935,18.76616,9,18.76616,27.33333,0.000155,37052868,cavity09,good,good,0.3173,-99.95,-99.95 % less time of default solver time,2047.096774
1306.423,4849.372,14.34569,2,13.1715,26179.48,0.000194,36025721,extr1b_A_24,fair,fair,0.38177,-99.95,-99.95 % less time of default solver time,1967.886598
531.1134,12208740,21.60955,2,18.71334,1.934897,0.003366,19932321,mark3jac080,fair,fair,6.6135,-99.95,-99.95 % less time of default solver time,1964.795009
22.24719,0.049873,10.6467,1,10.6467,1.535624,0.000547,36564232,piston_E,good,fair,1.0572,-99.95,-99.95 % less time of default solver time,1932.723949
1018.732,93.69727,30.42735,7,30.103,217.6855,0.000728,36025721,ex26,good,fair,1.398,-99.95,-99.95 % less time of default solver time,1920.32967
6827.318,108680,17.58501,2,18.1938,18.41862,0.005685,37052868,g7jac140sc,good,fair,10.891,-99.95,-99.95 % less time of default solver time,1915.743184
6827.318,108627.7,17.6835,2,17.72205,57.76688,0.002831,37052868,g7jac080sc,good,fair,5.3656,-99.95,-99.95 % less time of default solver time,1895.302013
531.1134,12208740,21.60955,2,18.71334,1.977884,0.004472,19932321,mark3jac100,fair,fair,8.3513,-99.95,-99.95 % less time of default solver time,1867.464222
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,0.00029,36025721,bayer07,fair,fair,0.52749,-99.95,-99.95 % less time of default solver time,1818.931034
1381.255,3.67E+12,47.50547,2,49.65997,3.72585,0.000291,19932321,bayer05,bad,bad,0.5283,-99.94,-99.94 % less time of default solver time,1815.463918
1381.255,3.67E+12,47.50547,2,49.65997,3.72585,0.000291,36025721,bayer05,bad,bad,0.5283,-99.94,-99.94 % less time of default solver time,1815.463918
1381.255,3.67E+12,111.0801,2,113.3405,3.72918,0.000291,19932321,bayer07,fair,fair,0.52749,-99.94,-99.94 % less time of default solver time,1812.680412
531.1134,12208740,21.60955,2,18.71334,90.24236,0.000904,19932321,mark3jac020,fair,fair,1.63,-99.94,-99.94 % less time of default solver time,1803.097345
531.1134,2097152,9.976185,2,13.15285,6584.382,0.002691,19932321,mark3jac060sc,fair,fair,4.8512,-99.94,-99.94 % less time of default solver time,1802.749907
3890.815,100109.9,18.87546,2,18.54204,1.863794,0.000898,29030070,powersim,fair,fair,1.6127,-99.94,-99.94 % less time of default solver time,1795.879733
1381.141,1160759000,59.49158,2,59.49158,3.610837,0.000283,36025721,bayer06,fair,fair,0.50804,-99.94,-99.94 % less time of default solver time,1795.194346
148.7198,1138142,22.86051,1,22.86039,803845.5,0.000818,29030070,cz10228,fair,fair,1.4511,-99.94,-99.94 % less time of default solver time,1773.96088
17492.32,4.00089,3.210354,3,3.210354,182.3608,0.00054,37052868,Zhao2,good,fair,0.95734,-99.94,-99.94 % less time of default solver time,1772.851852
6827.318,108674,17.41085,2,17.72205,193.9769,0.004091,37052868,g7jac100sc,good,fair,7.179,-99.94,-99.94 % less time of default solver time,1754.82767
1381.141,1160759000,59.49158,2,59.49158,3.610837,0.000298,19932321,bayer06,fair,fair,0.50804,-99.94,-99.94 % less time of default solver time,1704.832215
215.1551,46.79771,18.46866,9,18.46866,62.89811,0.000773,37052868,cavity24,good,fair,1.2904,-99.94,-99.94 % less time of default solver time,1669.340233
2314.406,26524340,24.13064,2,19.29646,75008.05,0.000156,37052868,g7jac020,bad,bad,0.24685,-99.94,-99.94 % less time of default solver time,1582.371795
157.7643,58.65648,18.34624,9,18.33773,39.12101,0.000338,37052868,cavity14,good,good,0.52393,-99.94,-99.94 % less time of default solver time,1550.088757
115.3713,285463.4,24.66798,1,24.66798,805168.4,0.00021,37052868,cz5108,good,good,0.32032,-99.93,-99.93 % less time of default solver time,1525.333333
531.1134,2097152,9.976185,2,13.15285,6584.382,0.003309,36564232,mark3jac060sc,fair,fair,4.8512,-99.93,-99.93 % less time of default solver time,1466.062254
