@relation petsc_anamod_aciss_40_60NoNoise

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.000119,36025721,good
793.8216,1.916559,99.21325,2,99.21325,81.59196,0.00018,37052868,fair
793.8216,1.939259,236.888,2,236.888,57.42411,0.010874,45869639,fair
793.8216,1.939259,236.888,2,236.888,57.42411,0.000088,32168839,good
793.8216,1.939259,236.888,2,236.888,57.42411,0.000334,29030070,fair
793.8216,1.939259,236.888,2,236.888,57.42411,0.000103,7285382,good
793.8216,1.939259,236.888,2,236.888,57.42411,0.000112,36564232,good
793.8216,1.939259,236.888,2,236.888,57.42411,1.79769313486E308,81986705,fair
793.8216,1.939259,236.888,2,236.888,57.42411,0.000412,19932321,fair
793.8216,1.939259,236.888,2,236.888,57.42411,0.000107,36025721,good
793.8216,1.939259,236.888,2,236.888,57.42411,0.000175,37052868,fair
793.8216,2.432901,231.392,2,231.392,10.0628,0.003435,45869639,fair
793.8216,2.432901,231.392,2,231.392,10.0628,0.000187,32168839,fair
793.8216,2.432901,231.392,2,231.392,10.0628,0.000219,11256941,fair
793.8216,2.432901,231.392,2,231.392,10.0628,1.79769313486E308,90783920,fair
793.8216,2.432901,231.392,2,231.392,10.0628,0.000337,29030070,fair
793.8216,2.432901,231.392,2,231.392,10.0628,0.000104,7285382,good
793.8216,2.432901,231.392,2,231.392,10.0628,0.000273,36564232,fair
793.8216,2.432901,231.392,2,231.392,10.0628,1.79769313486E308,81986705,fair
