avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
22.18824,785,1,1.6019,5,1.6019,10.41002,2.36E-05,36025721,1
22.18824,785,1,1.6019,5,1.6019,10.41002,7.65E-05,37052868,fair
40.4,796,1241.293,2.05297,3,2.187307,577.4343,0.00013041,32168837,1
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,0.0013387,45869639,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,0.0011761,32168839,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,3.31E-05,29030070,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,0.00047374,36564232,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,1.79769313486e+308,81986705,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,0.00028586,19932321,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,5.72E-05,36025721,fair
54.55856,815,15.00106,7.176107,2,6.875077,922908.4,1.72E-05,37052868,1
0,817,39545180,0,1,0,25.37447,1.43E-05,32168837,1
14.06897,876,1.00003,2.012825,2,2.012825,8.199458,2.62E-05,32168837,1
50.18182,910,176.0888,35.9621,2,34.47172,141930,0.00012493,32168839,fair
50.18182,910,176.0888,35.9621,2,34.47172,141930,1.57E-05,32168837,fair
50.18182,910,176.0888,35.9621,2,34.47172,141930,1.38E-05,29030070,fair
50.18182,910,176.0888,35.9621,2,34.47172,141930,0.00072718,36564232,fair
50.18182,910,176.0888,35.9621,2,34.47172,141930,1.79769313486e+308,81986705,fair
50.18182,910,176.0888,35.9621,2,34.47172,141930,8.11E-06,37052868,1
29.24138,928,17385750000,6.548283,8,7.842047,7677.272,2.10E-05,32168837,1
12.02439,935,1.757143,12,3,12,20.52814,3.70E-05,32168837,1
34.2963,992,8.459492,11.87982,6,11.87982,1647.592,9.42E-05,32168837,1
25.55814,1005,1.00005,1.488518,3,1.488518,10.60287,5.36E-05,32168837,1
22.65556,1012,184,1.322219,2,1.322219,1698.877,3.81E-05,32168837,1
0,1028,0.02761807,7.233908,1,7.233908,473262.1,7.87E-06,45869639,1
0,1028,0.02761807,7.233908,1,7.233908,473262.1,2.10E-05,32168839,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,1.50E-05,32168837,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,1.79769313486e+308,90783920,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,0.0038648,29030070,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,1.62E-05,7285382,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,3.10E-05,36564232,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,1.79769313486e+308,81986705,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,2.19E-05,69654763,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,3.00E-05,19932321,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,1.50E-05,36025721,fair
0,1028,0.02761807,7.233908,1,7.233908,473262.1,0.0020251,37052868,fair
6.4,1065,13.93686,3.293913,3,3.295384,13.68396,4.84E-05,32168837,1
81.0099,1069,1854434000,52.76571,2,61.64937,4727719000,6.58E-05,32168837,1
81.0099,1069,1703177000,25.28599,2,33.62574,3.21E+11,6.72E-05,32168837,1
0,1074,1444061,0.7577213,1,0.7577213,8266217,1.62E-05,32168837,1
169.5385,1089,7,0.7781513,1,0.7781513,2.937325,1.41E-05,32168837,1
28.33333,1095,863,2.933993,1,2.936011,431.5003,1.19E-05,32168839,1
28.33333,1095,863,2.933993,1,2.936011,431.5003,0.0010371,29030070,fair
28.33333,1095,863,2.933993,1,2.936011,431.5003,2.19E-05,36564232,fair
28.33333,1095,863,2.933993,1,2.936011,431.5003,1.79769313486e+308,81986705,fair
28.33333,1095,863,2.933993,1,2.936011,431.5003,0.00055265,37052868,fair
6,1128,612270100,7.039799,3,7.039274,508.5577,5.77E-05,32168837,1
82.71654,1162,282.7918,8.19775,1,8.308141,138.4072,1.41E-05,32168837,1
82.71654,1162,226.7832,7.558923,1,7.695534,145.4054,1.50E-05,32168837,1
133.5,1201,7,2.30103,2,2.60206,12335.45,2.53E-05,32168837,1
32.00781,1204,2001,7.408697,2,4.997648,466.5713,0.01781,45869639,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,0.00013137,32168839,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,1.50E-05,32168837,1
32.00781,1204,2001,7.408697,2,4.997648,466.5713,0.00047803,29030070,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,0.00032282,36564232,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,1.79769313486e+308,81986705,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,3.50E-05,69654763,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,2.79E-05,19932321,fair
32.00781,1204,2001,7.408697,2,4.997648,466.5713,1.50E-05,36025721,1
32.00781,1204,2001,7.408697,2,4.997648,466.5713,0.00026393,37052868,fair
167.5526,1242,1.346114,3.223722,1,3.223722,28601.21,1.31E-05,32168837,1
