n-nonzero-diags,avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00033808,26415433,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,1.79769313486e+308,68908713,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00017095,75830645,1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00036192,69654762,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00047588,19932323,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00031495,38678401,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00028992,38678402,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00028825,38678403,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.00024009,36025721,-1
3,0.6666667,30001,0.6253648,2.455325,2,2.455325,3.533353,0.0036843,85490472,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.010269,90197667,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0011442,89269803,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0011492,89269801,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0011401,7285384,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0025718,59072884,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0012779,49598910,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0020514,49598912,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.001147,30870721,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0011508,30870720,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.001107,32168838,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0029078,49834418,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0030966,57331600,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0054028,43373442,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.010608,91068411,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.013784,91068410,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.00062299,18868441,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.02037,91068408,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,1.79769313486e+308,90783920,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.0011511,99720138,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.00096726,26415433,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,1.79769313486e+308,68908713,-1
299,411.3712,178928,23.99435,3.755431,4,3.829478,21.73307,0.00044703,75830645,1
