avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,class,matrix_name,solver_time,predicted-class,default_time,Time Difference,SpeedUp
66.22222,5.333333,1.034632,4,1.034632,2145.693,32168839,good,t2d_q9,0.00655,bad,0.00655,0,1
66.22222,5.333333,1.034632,4,1.034632,2145.693,36564232,bad,t2d_q9,0.008282,fair,0.00655,26.44,0.79087177
1145.818,22.89451,16.67064,1,16.66817,2.87792,59072883,good,Na5,0.000414,fair,0.000438,-5.48,1.057971014
1145.818,22.89451,16.67064,1,16.66817,2.87792,36025721,bad,Na5,0.000535,good,0.000438,22.15,0.818691589
66.22222,5.333333,1.034632,4,1.034632,2145.693,36564232,bad,t2d_q9,0.008282,fair,0.00655,26.44,0.79087177
12537.49,200542.3,10.28527,3,10.28527,7.260631,32168839,good,TSOPF_RS_b2052_c1,0.011267,fair,0.011267,0,1
12537.49,200542.3,10.28527,3,10.28527,7.260631,36564232,good,TSOPF_RS_b2052_c1,0.009046,fair,0.011267,-19.71,1.245522883
12537.49,200542.3,10.28527,3,10.28527,7.260631,37052868,good,TSOPF_RS_b2052_c1,0.011175,fair,0.011267,-0.82,1.008232662
964.4461,20373660,24.44239,2,19.29646,60222.06,29030070,good,g7jac010,0.000105,fair,0.055089,-99.81,524.6571429
460.3435,5.727274,77.12,2,77.12,6.203451,69654763,fair,fpga_dcop_37,0.000601,fair,0.15769,-99.62,262.3793677
751.1841,1.221141,18.62187,1,18.62187,1.532423,32168839,bad,t3dl_a,0.000978,good,0.000978,0,1
